OTR,-124.34549,48.08535,-0.712
P403,-124.14086,48.06236,-0.285
PABH,-124.20450,47.21278,-0.036
PALM,-121.70554,45.35858,-2.590
PANH,-121.64261,46.85900,-2.109
PAT,-119.75347,45.88185,-0.262
PAT2,-119.75775,45.88362,-0.259
PAYL,-122.31278,47.19278,-0.010
PCEP,-122.29000,47.11160,-0.160
PCFR,-122.44218,46.98962,-0.137
PCMD,-122.30148,46.88896,-0.239
PERL,-122.77903,45.32845,-0.070
PGO,-122.45440,45.46168,-0.253
PGW,-122.60062,47.82171,-0.122
PHIN,-119.92780,45.89510,-0.227
PIER,-122.34091,47.58350,-0.004
PNLK,-122.03483,47.58162,-0.128
PRLK,-121.96264,44.20975,-1.283
PRO,-119.68681,46.21252,-0.553
PSNS,-122.63763,47.56273,-0.026
QADA,-122.38963,47.67280,-0.031
QAMI,-122.97613,45.52561,-0.057
QAW,-122.35554,47.63157,-0.140
QBGD,-122.37667,47.29793,-0.117
QBIT,-122.34992,47.72215,-0.138
QBRO,-122.12118,48.07397,-0.096
QBSH,-122.03202,47.52797,-0.036
